water_pay,respondent,research_asst_name,water_used_season,_bamboo_dataset_id,_deleted_at,water_point_condition,_xform_id_string,other_point_1km,_attachments,communities_villages,end,animal_number,water_point_id,start,water_connected,water_manager_name,_status,enum_id_1,water_lift_mechanism,districts_divisions,_uuid,grid,date,formhub/uuid,road_available,water_functioning,_submission_time,signal,water_source_type,_geolocation,water_point_image,water_point_geocode,deviceid,locations_wards,water_manager,water_developer,_id,animal_point,water_mechanism_plate,water_lift_mechanism_type,road_type,water_mechanism_plate_units,water_mechanism_plate_no,water_not_functioning,water_source_type_other,simserial,subscriberid
no,community,HM,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351758612391.jpg'],Nabulugu,2012-11-01T08:33:25.251Z,10_to_50,xxx,2012-11-01T08:27:33.932Z,no,Nba Achiri,submitted_via_web,5,yes,northern,72fb21966d294dda9d3f812450f73ba9,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:16:19,high,borehole,"['10.31942854', '-0.66200327']",1351758612391.jpg,10.31942854 -0.66200327 181.8000030517578 5.0,355047040123780,west_mamprusi,individual,community,381726,yes,no,hand_pump,,,,,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351758874138.jpg'],Nabulugu,2012-11-01T08:39:19.927Z,na_dn,xxx,2012-11-01T08:33:31.801Z,no,Kasimu,submitted_via_web,5,yes,northern,fc196f1f005c4367a43549f52a88102c,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:16:26,high,borehole,"['10.3192668', '-0.66227985']",1351758874138.jpg,10.3192668 -0.66227985 179.5 5.0,355047040123780,west_mamprusi,individual,community,381727,yes,no,manual_power,,,,,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351759260200.jpg'],Nabulugu,2012-11-01T08:43:19.082Z,50_to_500,xxx,2012-11-01T08:39:27.154Z,no,Nba Tamanaa,submitted_via_web,5,yes,northern,c18d2e4901364132bab4dac8ce6cb6dc,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,yes,2012-11-13 07:16:34,high,borehole,"['10.31865831', '-0.66291581']",1351759260200.jpg,10.31865831 -0.66291581 179.3000030517578 5.0,355047040123780,west_mamprusi,community,international,381728,yes,no,hand_pump,paved,,,,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351759490080.jpg'],Nabulugu,2012-11-01T08:46:39.445Z,10_to_50,xxx,2012-11-01T08:43:26.192Z,no,Amidu,submitted_via_web,5,yes,northern,fd7cac626c234b779996e7fa4174d34a,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:16:42,high,borehole,"['10.31829957', '-0.66269932']",1351759490080.jpg,10.31829957 -0.66269932 176.39999389648438 5.0,355047040123780,west_mamprusi,community,international,381729,yes,no,hand_pump,,,,,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351759690480.jpg'],Nabulugu,2012-11-01T08:50:45.609Z,50_to_500,xxx,2012-11-01T08:46:53.356Z,no,Abdul Raham,submitted_via_web,5,yes,northern,85042bb80b6642b8b43db834db316a6f,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:16:48,high,borehole,"['10.31788859', '-0.66229829']",1351759690480.jpg,10.31788859 -0.66229829 178.60000610351563 5.0,355047040123780,west_mamprusi,community,international,381730,yes,no,manual_power,,,,,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351759893548.jpg'],Nabulugu,2012-11-01T08:53:33.983Z,50_to_500,xxx,2012-11-01T08:50:52.150Z,no,Yakubu,submitted_via_web,5,yes,northern,ae74eaf068b54a5ba7cacd84786287f4,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:16:56,high,borehole,"['10.31794782', '-0.66195411']",1351759893548.jpg,10.31794782 -0.66195411 185.3000030517578 5.0,355047040123780,west_mamprusi,community,international,381731,yes,no,hand_pump,,,,,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351760119362.jpg'],Nabulugu,2012-11-01T08:57:02.962Z,10_to_50,xxx,2012-11-01T08:53:42.012Z,no,Yakubu,submitted_via_web,5,yes,northern,ede324be6dfa4ca9b0bb1c7f3de56fe9,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:17:03,high,borehole,"['10.3184971', '-0.66126682']",1351760119362.jpg,10.3184971 -0.66126682 192.60000610351563 5.0,355047040123780,west_mamprusi,community,international,381732,yes,no,hand_pump,,,,,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351760282701.jpg'],Nabulugu,2012-11-01T08:59:54.477Z,10_to_50,xxx,2012-11-01T08:57:10.914Z,no,Abubakari,submitted_via_web,5,yes,northern,ec138c40594e485582050b0d1a97dc54,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:17:19,high,borehole,"['10.3187797', '-0.66134257']",1351760282701.jpg,10.3187797 -0.66134257 187.5 5.0,355047040123780,west_mamprusi,individual,community,381733,yes,no,manual_power,,,,,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351760467981.jpg'],Nabulugu,2012-11-01T09:03:04.104Z,10_to_50,xxx,2012-11-01T09:00:05.019Z,no,Abubakari,submitted_via_web,5,yes,northern,65677b2e287043cc896c2766392a5620,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:17:30,high,borehole,"['10.31890404', '-0.66117128']",1351760467981.jpg,10.31890404 -0.66117128 188.1999969482422 5.0,355047040123780,west_mamprusi,community,international,381734,yes,no,manual_power,,,,,,,
no,community,"H.M


",year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351760665796.jpg'],Nabulugu,2012-11-01T09:06:58.913Z,10_to_50,xxx,2012-11-01T09:03:22.645Z,no,Kasimu,submitted_via_web,5,yes,northern,6cf5aefee3c94634962f27c91a091b5d,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:17:40,high,borehole,"['10.31912724', '-0.66181175']",1351760665796.jpg,10.31912724 -0.66181175 174.39999389648438 5.0,355047040123780,west_mamprusi,community,international,381735,yes,no,hand_pump,,,,,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351761031994.jpg'],Nabulugu,2012-11-01T09:12:28.761Z,50_to_500,xxx,2012-11-01T09:07:06.523Z,no,Sulemana,submitted_via_web,5,yes,northern,54550dcf82f0456e88f80d667e35e24f,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:17:47,high,borehole,"['10.3196532', '-0.66269767']",1351761031994.jpg,10.3196532 -0.66269767 188.60000610351563 5.0,355047040123780,west_mamprusi,community,international,381736,yes,no,hand_pump,,,,,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351761199568.jpg'],Nabulugu,2012-11-01T09:15:15.371Z,50_to_500,xxx,2012-11-01T09:12:34.642Z,no,Sulemana,submitted_via_web,5,no,northern,b6680bfb18204d16bfd4c2d5e6732399,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:17:55,high,borehole,"['10.31986135', '-0.66303381']",1351761199568.jpg,10.31986135 -0.66303381 171.6999969482422 5.0,355047040123780,west_mamprusi,individual,community,381737,yes,,,,,,,,,
no,community,H.M,cannot_determine,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351761450808.jpg'],Nabulugu,2012-11-01T09:20:03.819Z,,xxx,2012-11-01T09:15:25.782Z,no,Afa Adam,submitted_via_web,5,yes,northern,3ade32df86164dcea31c82bbe760f4c7,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,no,2012-11-13 07:18:02,high,borehole,"['10.31930616', '-0.6629387']",1351761450808.jpg,10.31930616 -0.6629387 174.89999389648438 5.0,355047040123780,west_mamprusi,community,international,381738,no,no,hand_pump,paved,,,lift_broken,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351761699670.jpg'],Nabulugu,2012-11-01T09:24:01.377Z,50_to_500,xxx,2012-11-01T09:20:11.875Z,no,Afa Adam,submitted_via_web,5,yes,northern,f80dcbdde2674cffa1a796d5a28b4d53,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,yes,2012-11-13 07:18:09,high,borehole,"['10.31912082', '-0.66322308']",1351761699670.jpg,10.31912082 -0.66322308 163.60000610351563 5.0,355047040123780,west_mamprusi,community,international,381739,yes,no,hand_pump,paved,,,,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351761903158.jpg'],Nabulugu,2012-11-01T09:26:53.403Z,50_to_500,xxx,2012-11-01T09:24:07.729Z,no,Afa Adam,submitted_via_web,5,yes,northern,25a46a63905244c9a314f82c4ff65208,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,yes,2012-11-13 07:18:16,high,borehole,"['10.31935109', '-0.66356005']",1351761903158.jpg,10.31935109 -0.66356005 173.1999969482422 5.0,355047040123780,west_mamprusi,community,community,381740,yes,no,hand_pump,paved,,,,,,
no,community,H.M,cannot_determine,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351762072307.jpg'],Nabulugu,2012-11-01T09:29:34.564Z,,xxx,2012-11-01T09:27:18.628Z,no,Inusah,submitted_via_web,5,yes,northern,2b1915832ca441f895f653427b1af38f,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,no,2012-11-13 07:18:29,high,borehole,"['10.31913221', '-0.66366399']",1351762072307.jpg,10.31913221 -0.66366399 174.89999389648438 5.0,355047040123780,west_mamprusi,community,international,381741,no,no,hand_pump,paved,,,lift_broken,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351762272917.jpg'],Nabulugu,2012-11-01T09:33:03.725Z,50_to_500,xxx,2012-11-01T09:29:40.556Z,no,Abdulai,submitted_via_web,5,yes,northern,ec954092ff574c6897ccf92113ae4dae,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:18:38,high,borehole,"['10.31826864', '-0.66363612']",1351762272917.jpg,10.31826864 -0.66363612 171.5 5.0,355047040123780,west_mamprusi,community,international,381742,yes,no,hand_pump,,,,,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351762484087.jpg'],Nabulugu,2012-11-01T09:37:09.902Z,50_to_500,xxx,2012-11-01T09:33:10.087Z,no,Salifu,submitted_via_web,5,yes,northern,bc5780c9393040b6a68a3830fd1b853c,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:18:45,high,protected_well,"['10.31808629', '-0.66334018']",1351762484087.jpg,10.31808629 -0.66334018 157.3000030517578 5.0,355047040123780,west_mamprusi,individual,community,381743,yes,no,manual_power,,,,,,,
no,community,H.M,cannot_determine,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351762714220.jpg'],Nabulugu,2012-11-01T09:42:17.598Z,,xxx,2012-11-01T09:37:17.807Z,no,Salifu,submitted_via_web,5,yes,northern,02141f561c1c4155b2bed5fa171002f7,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,no,2012-11-13 07:18:53,high,borehole,"['10.31808259', '-0.66306546']",1351762714220.jpg,10.31808259 -0.66306546 184.89999389648438 5.0,355047040123780,west_mamprusi,community,international,381744,no,no,hand_pump,,,,lift_broken,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351763103511.jpg'],Nabulugu,2012-11-01T09:47:08.985Z,50_to_500,xxx,2012-11-01T09:42:26.378Z,no,Dahamata,submitted_via_web,5,yes,northern,6634d8e7d8564872b54da196e1be573e,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:19:04,high,borehole,"['10.31672144', '-0.66337015']",1351763103511.jpg,10.31672144 -0.66337015 174.1999969482422 5.0,355047040123780,west_mamprusi,individual,community,381745,yes,no,manual_power,,,,,,,
no,community,H .M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351763462074.jpg'],Nabulugu,2012-11-01T09:53:20.616Z,50_to_500,xxx,2012-11-01T09:47:15.163Z,no,Sumaila,submitted_via_web,5,yes,northern,59c2ea8565df40d4a2fa0f31045e9fe0,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:19:14,high,protected_well,"['10.31692639', '-0.66509206']",1351763462074.jpg,10.31692639 -0.66509206 173.10000610351563 5.0,355047040123780,west_mamprusi,individual,community,381746,yes,no,manual_power,,,,,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351763710665.jpg'],Nabulugu,2012-11-01T09:59:39.059Z,more_500,6393,2012-11-01T09:53:30.971Z,no,"Tamanaa
",submitted_via_web,5,yes,northern,699c50b436fb4baa8543eef3cf53373d,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:19:22,high,borehole,"['10.31796974', '-0.66516468']",1351763710665.jpg,10.31796974 -0.66516468 169.5 5.0,355047040123780,west_mamprusi,community,international,381747,yes,yes,hand_pump,,horsepoower,6393.0,,,,
no,community,HM,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351764045870.jpg'],Nabulugu,2012-11-01T10:03:27.704Z,,xxx,2012-11-01T09:59:49.080Z,no,Pihignaa,submitted_via_web,5,yes,northern,e3db220af3704bf0b94c9b461ddd4a2f,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:19:28,high,protected_well,"['10.31817108', '-0.66390078']",1351764045870.jpg,10.31817108 -0.66390078 178.39999389648438 5.0,355047040123780,west_mamprusi,individual,community,381748,no,no,manual_power,,,,,,,
